index,predict
105783,0.0
551751,0.0
432733,0.0
373351,0.0
119668,0.0
140420,0.0
217540,0.0
541957,0.0
115745,0.0
562480,0.0
38582,0.0
341476,0.0
458493,0.0
265415,0.0
286128,0.0
32563,0.0
329657,0.0
513518,0.0
499938,0.0
472087,0.0
574940,0.0
322551,0.0
123537,0.0
220479,0.0
452424,0.0
214235,0.0
325227,0.0
397799,0.0
9492,0.0
262864,0.0
346630,0.0
311634,0.0
282330,0.0
29799,0.0
506222,0.0
554525,0.0
237926,0.0
68113,0.0
336673,0.0
59074,0.0
269405,0.0
560048,0.0
118093,0.0
100452,0.0
88351,0.0
120268,0.0
369078,0.0
233811,0.0
409496,0.0
497904,0.0
114291,0.0
257786,0.0
377836,0.0
22708,0.0
102944,0.0
69866,0.0
63919,0.0
204644,0.0
33695,0.0
396143,0.0
331677,0.0
54604,0.0
92867,0.0
86556,0.0
42255,0.0
158248,0.0
92633,0.0
84048,0.0
187671,0.0
220019,0.0
532295,0.0
305503,0.0
245577,0.0
222934,0.0
311381,0.0
553189,0.0
86546,0.0
332381,0.0
486739,0.0
415633,0.0
328568,0.0
82652,0.0
221421,0.0
166815,0.0
295943,0.0
398962,0.0
293488,0.0
452755,0.0
549421,0.0
155313,0.0
157879,0.0
101615,0.0
352749,0.0
175527,0.0
310827,0.0
533204,0.0
65480,0.0
170535,0.0
422561,0.0
502912,0.0
233117,0.0
437602,0.0
480469,0.0
337923,0.0
286404,0.0
32987,0.0
467502,0.0
428337,0.0
499229,0.0
220245,0.0
407126,0.0
315811,0.0
558844,0.0
441686,0.0
348793,0.0
497536,0.0
35992,0.0
394432,0.0
6570,0.0
106188,0.0
105744,0.0
424251,0.0
197556,0.0
271913,0.0
438997,0.0
35183,0.0
194510,0.0
285131,0.0
352855,0.0
539269,0.0
126978,0.0
572672,0.0
565701,0.0
112178,0.0
326326,0.0
342726,0.0
144903,0.0
268437,0.0
205056,0.0
537677,0.0
342886,0.0
500374,0.0
197158,0.0
199986,0.0
412200,0.0
357193,0.0
224962,0.0
350904,0.0
180958,0.0
1268,0.0
233113,0.0
133647,0.0
484797,0.0
343282,0.0
450321,0.0
576271,0.0
496469,0.0
282121,0.0
424786,0.0
258038,0.0
552884,0.0
428644,0.0
281378,0.0
133378,0.0
276113,0.0
109344,0.0
412784,0.0
481357,0.0
525623,0.0
540334,0.0
195684,0.0
534725,0.0
200278,0.0
116547,0.0
404455,0.0
242833,0.0
396018,0.0
96622,0.0
234079,0.0
469409,0.0
118449,0.0
238468,0.0
423230,0.0
408672,0.0
440122,0.0
426721,0.0
546894,0.0
515643,0.0
138479,0.0
526190,0.0
329749,0.0
526267,0.0
286783,0.0
414884,0.0
57418,0.0
62041,0.0
362722,0.0
574927,0.0
116391,0.0
194130,0.0
515838,0.0
512381,0.0
70481,0.0
213190,0.0
321994,0.0
539228,0.0
515417,0.0
201801,0.0
96215,0.0
72617,0.0
284778,0.0
166899,0.0
162667,0.0
242773,0.0
353967,0.0
221609,0.0
369914,0.0
349517,0.0
303840,0.0
3023,0.0
402925,0.0
424845,0.0
19627,0.0
373639,0.0
527758,0.0
84841,0.0
369641,0.0
178942,0.0
358596,0.0
92416,0.0
171758,0.0
205927,0.0
216830,0.0
331733,0.0
532363,0.0
505478,0.0
18638,0.0
136168,0.0
338226,0.0
524188,0.0
485307,0.0
371093,0.0
448102,0.0
20542,0.0
528583,0.0
540053,0.0
410756,0.0
68789,0.0
561454,0.0
286105,0.0
279730,0.0
430216,0.0
439703,0.0
26957,0.0
56503,0.0
519611,0.0
310127,0.0
124998,0.0
364076,0.0
386703,0.0
374888,0.0
365559,0.0
218617,0.0
263098,0.0
217489,0.0
268617,0.0
313143,0.0
83059,0.0
419979,0.0
515732,0.0
44562,0.0
349774,0.0
309821,0.0
16981,0.0
159520,0.0
314574,0.0
400032,0.0
258601,0.0
309027,0.0
205806,0.0
52938,0.0
262277,0.0
47656,0.0
349470,0.0
413102,0.0
386648,0.0
124309,0.0
518982,0.0
453343,0.0
350990,0.0
422034,0.0
275473,0.0
2546,0.0
429402,0.0
473226,0.0
334632,0.0
300019,0.0
224023,0.0
321849,0.0
248200,0.0
481178,0.0
455428,0.0
315912,0.0
421059,0.0
578578,0.0
215959,0.0
390227,0.0
33086,0.0
266468,0.0
265434,0.0
88663,0.0
554981,0.0
457460,0.0
216371,0.0
82926,0.0
511506,0.0
526239,0.0
501797,0.0
219015,0.0
79322,0.0
240737,0.0
470215,0.0
214662,0.0
55824,0.0
43348,0.0
25016,0.0
112934,0.0
255232,0.0
239300,0.0
447401,0.0
453126,0.0
354,0.0
523238,0.0
457142,0.0
273358,0.0
290496,0.0
319858,0.0
386996,0.0
229910,0.0
2118,0.0
119054,0.0
63083,0.0
273094,0.0
206595,0.0
88208,0.0
228097,0.0
323182,0.0
237927,0.0
175883,0.0
351746,0.0
346807,0.0
46060,0.0
480126,0.0
492493,0.0
493495,0.0
11408,0.0
524059,0.0
453977,0.0
533577,0.0
166022,0.0
315774,0.0
200783,0.0
80115,0.0
192820,0.0
275201,0.0
449828,0.0
416344,0.0
141797,0.0
528079,0.0
288466,0.0
158898,0.0
203839,0.0
256364,0.0
408609,0.0
367170,0.0
196641,0.0
504148,0.0
30523,0.0
71366,0.0
506813,0.0
520386,0.0
399715,0.0
399572,0.0
433549,0.0
447162,0.0
214226,0.0
55052,0.0
573774,0.0
345381,0.0
149181,0.0
130164,0.0
291285,0.0
574288,0.0
92984,0.0
377867,0.0
294874,0.0
477321,0.0
458828,0.0
306337,0.0
385930,0.0
388353,0.0
494102,0.0
365032,0.0
501665,0.0
169473,0.0
17370,0.0
255093,0.0
72387,0.0
296958,0.0
476853,0.0
509948,0.0
115099,0.0
213879,0.0
91427,0.0
276619,0.0
476747,0.0
481364,0.0
397068,0.0
101676,0.0
467701,0.0
384385,0.0
445582,0.0
514984,0.0
359715,0.0
263118,0.0
31398,0.0
157228,0.0
533081,0.0
7960,0.0
532085,0.0
119817,0.0
345440,0.0
370506,0.0
46738,0.0
189314,0.0
233600,0.0
29881,0.0
345230,0.0
175023,0.0
69070,0.0
386185,0.0
22930,0.0
541375,0.0
333792,0.0
503855,0.0
461840,0.0
341839,0.0
157781,0.0
280646,0.0
350006,0.0
